timestamp,kwh
2024-01-01 00:00,12.5
2024-01-01 01:00,11.8
2024-01-01 02:00,11.2
2024-01-01 03:00,10.9
2024-01-01 04:00,10.4
2024-01-01 05:00,10.1
2024-01-01 06:00,12.2
2024-01-01 07:00,14.8
2024-01-01 08:00,18.3
2024-01-01 09:00,20.1
2024-01-01 10:00,21.6
2024-01-01 11:00,23.0
2024-01-01 12:00,24.4
2024-01-01 13:00,25.1
2024-01-01 14:00,25.0
2024-01-01 15:00,24.2
2024-01-01 16:00,23.5
2024-01-01 17:00,22.8
2024-01-01 18:00,21.9
2024-01-01 19:00,20.2
2024-01-01 20:00,18.4
2024-01-01 21:00,17.1
2024-01-01 22:00,15.6
2024-01-01 23:00,14.2
