timestamp,kwh
2024-01-01 00:00,5.2
2024-01-01 01:00,4.9
2024-01-01 02:00,4.4
2024-01-01 03:00,4.1
2024-01-01 04:00,3.8
2024-01-01 05:00,3.6
2024-01-01 06:00,5.0
2024-01-01 07:00,6.2
2024-01-01 08:00,7.8
2024-01-01 09:00,8.9
2024-01-01 10:00,9.4
2024-01-01 11:00,9.9
2024-01-01 12:00,10.3
2024-01-01 13:00,10.0
2024-01-01 14:00,9.6
2024-01-01 15:00,9.1
2024-01-01 16:00,8.7
2024-01-01 17:00,7.9
2024-01-01 18:00,7.1
2024-01-01 19:00,6.4
2024-01-01 20:00,5.8
2024-01-01 21:00,5.2
2024-01-01 22:00,4.8
2024-01-01 23:00,4.6
