timestamp,kwh
2024-01-01 00:00,3.4
2024-01-01 01:00,3.1
2024-01-01 02:00,2.9
2024-01-01 03:00,2.6
2024-01-01 04:00,2.5
2024-01-01 05:00,2.4
2024-01-01 06:00,3.0
2024-01-01 07:00,3.8
2024-01-01 08:00,4.6
2024-01-01 09:00,5.1
2024-01-01 10:00,5.4
2024-01-01 11:00,5.7
2024-01-01 12:00,5.9
2024-01-01 13:00,5.6
2024-01-01 14:00,5.3
2024-01-01 15:00,5.0
2024-01-01 16:00,4.8
2024-01-01 17:00,4.3
2024-01-01 18:00,3.9
2024-01-01 19:00,3.5
2024-01-01 20:00,3.2
2024-01-01 21:00,3.1
2024-01-01 22:00,2.9
2024-01-01 23:00,2.7
